Date,Time,S&P,Dow_Jones,NASDAQ,Skype（Microsoft）,Cisco,Facebook,Trading_Volume,Prev_Avg_Price,True_Price,,From 2019.4.18 11:30 To 2020.4.17 16:00,,,Pre_Avg_Price: Average Open Stock Price of Zoom one hour earlier,,
2019/04/30,2019/04/30 12:30,2937.33,26524.62,8095.61,128.48,54.19,195.42,299746,68.40,70.75,,,,,,,
2019/04/30,2019/04/30 13:30,2937.44,26534.68,8086.99,128.42,54.19,193.75,288666,70.75,69.46,,,,,,,
2019/04/30,2019/04/30 14:30,2943.39,26571.26,8107.18,128.61,54.35,193.95,149239,69.28,70.21,,,,,,,
2019/04/30,2019/04/30 15:30,2941.56,26565.67,8097.08,128.56,54.29,192.31,206905,70.21,70.72,,,,,,,
2019/04/30,2019/04/30 16:00,2945.81,26592.50,8095.39,128.89,54.26,193.40,2265980,70.72,72.47,,,,,,,
2019/05/01,2019/05/01 10:30,2946.42,26624.85,8117.98,128.11,54.15,194.52,589934,72.47,72.63,,,,,,,
2019/05/01,2019/05/01 11:30,2949.46,26657.38,8127.58,128.10,54.40,195.88,302734,72.60,73.66,,,,,,,
2019/05/01,2019/05/01 12:30,2945.70,26610.82,8123.31,127.90,54.41,194.64,148017,73.63,74.36,,,,,,,
2019/05/01,2019/05/01 13:30,2946.35,26615.54,8119.67,127.74,54.43,194.02,137593,74.36,74.70,,,,,,,
2019/05/01,2019/05/01 14:30,2951.52,26646.97,8139.43,127.72,54.49,195.28,148096,74.70,74.70,,,,,,,
2019/05/01,2019/05/01 15:30,2936.51,26529.97,8087.87,126.95,54.11,194.17,355134,74.70,75.44,,,,,,,
2019/05/01,2019/05/01 16:00,2923.73,26430.14,8049.64,126.21,53.91,193.03,1620392,75.44,72.76,,,,,,,
2019/05/02,2019/05/02 10:30,2928.20,26428.65,8075.05,125.77,54.03,192.62,433592,72.76,72.06,,,,,,,
2019/05/02,2019/05/02 11:30,2911.67,26275.44,8023.39,125.11,53.63,191.73,225134,72.02,70.75,,,,,,,
2019/05/02,2019/05/02 12:30,2907.62,26220.66,8004.27,124.58,53.34,190.76,181468,70.76,71.14,,,,,,,
2019/05/02,2019/05/02 13:30,2915.34,26278.13,8027.46,124.61,53.44,191.47,68518,71.14,71.35,,,,,,,
2019/05/02,2019/05/02 14:30,2917.21,26300.98,8031.91,124.85,53.37,191.96,53312,71.35,71.90,,,,,,,
2019/05/02,2019/05/02 15:30,2915.78,26287.20,8031.97,124.83,53.30,191.84,260155,71.90,75.58,,,,,,,
2019/05/02,2019/05/02 16:00,2917.51,26307.79,8036.77,124.56,53.28,192.53,1298418,75.58,75.50,,,,,,,
2019/05/03,2019/05/03 10:30,2933.59,26396.93,8118.59,126.37,52.80,195.23,560060,75.50,77.57,,,,,,,
2019/05/03,2019/05/03 11:30,2938.27,26438.09,8127.86,126.89,52.85,195.11,195795,77.57,78.32,,,,,,,
2019/05/03,2019/05/03 12:30,2944.31,26520.74,8142.91,127.00,53.02,195.69,314318,78.32,79.50,,,,,,,
2019/05/03,2019/05/03 13:30,2946.31,26516.32,8154.29,127.46,53.10,195.97,160148,79.50,78.97,,,,,,,
2019/05/03,2019/05/03 14:30,2945.22,26514.12,8152.13,127.32,53.08,195.29,109375,78.97,78.80,,,,,,,
2019/05/03,2019/05/03 15:30,2943.73,26507.67,8149.33,127.08,53.17,195.00,80046,78.80,78.70,,,,,,,
2019/05/03,2019/05/03 16:00,2945.62,26504.74,8164.00,127.22,53.28,195.47,1166763,78.70,79.18,,,,,,,
2019/05/06,2019/05/06 10:30,2915.05,26234.18,8068.02,126.03,52.61,193.46,653042,79.18,79.34,,,,,,,
2019/05/06,2019/05/06 11:30,2923.94,26332.30,8098.93,126.29,52.84,193.09,175761,79.34,79.28,,,,,,,
2019/05/06,2019/05/06 12:30,2917.40,26276.98,8073.60,125.83,52.71,192.44,70915,79.30,79.53,,,,,,,
2019/05/06,2019/05/06 13:30,2921.31,26299.92,8084.97,126.12,52.82,192.96,113199,79.59,79.00,,,,,,,
2019/05/06,2019/05/06 14:30,2925.83,26353.07,8097.61,126.33,52.84,193.30,69069,79.00,78.77,,,,,,,
